location,lag5,sto,nonlinear,season,global
bigcreek,0.74,0.485,0.797,spring,0.727
bigotter,0.863,0.521,0.853,spring,0.728
fox,0.7,0.7,0.881,spring,0.745
genesee,0.641,0.77,0.88,spring,0.84
humber,0.715,0.707,0.888,spring,0.699
mississagi,0.64,0.137,0.893,spring,0.92
nipigon,-0.425,-6.619,0.902,spring,-4.125
portage,0.576,0.024,0.592,spring,-0.738
saginaw,0.752,0.863,0.919,spring,0.787
still,0.496,0.868,0.601,spring,0.359
stlouis,0.574,0.422,0.762,spring,0.733
vermilion,0.537,0.439,0.789,spring,0.218
bigcreek,0.422,-0.856,0.559,summer,-5.93
bigotter,0.35,-1.212,0.171,summer,-12.563
fox,0.425,0.168,0.449,summer,-3.091
genesee,0.402,0.573,0.482,summer,0.626
humber,-0.002,-0.022,-0.177,summer,-5.722
mississagi,0.502,0.502,0.722,summer,0.5
nipigon,0.361,0.379,0.119,summer,-1.3
portage,-0.293,-0.49,-0.776,summer,-1.014
saginaw,0.553,0.318,0.452,summer,-1.151
still,0.365,0.017,0.054,summer,-0.823
stlouis,0.563,0.295,0.74,summer,-2.024
vermilion,0.521,0.144,0.473,summer,-0.424
bigcreek,0.866,0.176,0.641,fall,0.65
bigotter,0.946,-0.395,0.876,fall,0.604
fox,0.583,0.704,0.782,fall,0.667
genesee,0.768,0.791,0.929,fall,0.946
humber,0.667,0.022,0.731,fall,0.621
mississagi,0.778,0.664,0.883,fall,0.861
nipigon,0.881,0.343,0.908,fall,0.299
portage,0.648,0.413,0.573,fall,0.2
saginaw,0.809,0.779,0.961,fall,0.758
still,0.868,0.64,0.82,fall,0.928
stlouis,0.826,0.827,0.937,fall,0.827
vermilion,0.783,0.763,0.856,fall,0.869
bigcreek,0.897,0.711,0.823,annual,0.723
bigotter,0.922,0.434,0.83,annual,0.381
fox,0.766,0.855,0.893,annual,0.778
genesee,0.795,0.867,0.951,annual,0.935
humber,0.858,0.817,0.926,annual,0.666
mississagi,0.809,0.779,0.911,annual,0.93
nipigon,0.728,0.281,0.661,annual,0.384
portage,0.805,0.833,0.825,annual,0.616
saginaw,0.844,0.91,0.959,annual,0.809
still,0.774,0.877,0.866,annual,0.874
stlouis,0.786,0.876,0.95,annual,0.774
vermilion,0.796,0.751,0.901,annual,0.741
