"","location","fold","test_year","linear","nonlinear","seasonal","futureS","air2stream"
"1","allegheny",1,2012,2.18620424581275,1.98162208305045,1.82464616475066,4.56868965399897,1.99034974871428
"2","allegheny",2,2013,2.89598905219898,2.75997625891486,5.72368809452766,3.3946517162047,1.59914763750131
"3","allegheny",3,2015,2.72344378279603,2.76543276459426,5.61116680321053,2.51259642364128,1.42511023273768
"4","allegheny",4,2016,2.02136753545149,1.85267848233133,5.62167128657204,3.50327310377564,0.786526735355214
"5","allegheny",5,2017,2.54115950153701,2.34134399962994,3.66052255235468,4.79385057806129,0.890453725232273
"6","bigcreek",1,2003,0.552355800174064,0.836014929460089,2.07031183434502,8.14554268475724,0.632532005439507
"7","bigcreek",2,2005,2.07464932139262,1.87854498892233,1.96631447759324,6.7489276119586,1.9330451282319
"8","bigcreek",3,2006,0.666702370496158,0.89459286422636,2.13796201577195,7.65709135048645,0.547392617039307
"9","bigcreek",4,2007,1.17350404617488,1.189485403409,1.75885454657139,7.62279949642618,1.26367975269674
"10","bigcreek",5,2008,1.17958081438059,1.28211795445803,1.93203246085962,5.87142246518665,1.23534843055264
"11","genesee",1,2011,1.52443621693092,1.38486654489564,1.33876064384893,4.04004018251747,1.26355280368451
"12","genesee",2,2012,1.53832336248278,1.4950030502266,3.06845238209434,4.95388321926595,1.89979379302193
"13","genesee",3,2013,0.92925354612882,1.01661939024606,2.46454608420806,4.00054887425333,1.13088661687406
"14","genesee",4,2017,1.28243534011262,1.19855366670779,1.64530565267952,5.08219890111874,0.784948084800211
"15","genesee",5,2019,0.688136098580585,0.725870076655357,0.940231056786539,2.57641511515993,0.797125737509852
"16","humber",1,2000,1.68384489412365,1.08737527397205,2.11774639720647,5.86502804135425,0.684833522400863
"17","humber",2,2001,2.18301299057761,1.24886644949352,2.67091476883414,7.27369265653193,0.654570219767107
"18","humber",3,2005,2.67351945995236,1.86599768952285,2.99423366489728,9.08034000199373,0.906966276920457
"19","humber",4,2008,2.37027556593012,1.37590494958739,2.41738329979552,2.86904259793591,1.27160862466348
"20","humber",5,2009,1.96812372804796,1.48336070499868,1.55307491415684,2.89117337687317,1.01676986938912
"21","rifle",1,2014,1.70439473485051,1.31613511196919,1.98277683464034,6.46864825216292,0.81840707400921
"22","rifle",2,2016,2.79207185895355,1.42960410617835,2.77584672488377,6.09512948075476,1.04483113918131
"23","rifle",3,2017,2.50018586076211,1.20576655438416,3.26520773418913,2.76945429191832,0.89583716989115
"24","rifle",4,2018,2.42995167675702,1.13982815455045,3.10192674324635,2.1844845146522,0.863923396584706
"25","rifle",5,2019,2.10518256542628,1.0397087725268,2.57305847790401,8.25698462372081,0.655795227463743
"26","saginaw",1,2012,2.77989174264809,1.49261515646634,4.61345797035207,5.01730195856804,1.53143058498572
"27","saginaw",2,2014,2.26103774967096,1.58068386450351,1.14090933323163,2.08754072949479,1.19888254129779
"28","saginaw",3,2016,0.826057948049836,0.811908091453118,1.42512680742584,3.01555913517345,0.757886705814229
"29","saginaw",4,2017,1.7551312164871,1.33006842282045,1.57320103456888,5.83063137406793,1.03152000166883
"30","saginaw",5,2018,1.2527122250483,0.963271973997704,1.87628102356284,5.54953458550999,1.03663216987323
"31","salmontrout",1,2010,1.58753265249158,1.12276722311164,2.61322095797807,5.45685805938644,0.557855027387485
"32","salmontrout",2,2011,1.01207184243071,1.0007422672203,3.704829646757,7.222424086393,2.84083672603398
"33","salmontrout",3,2014,1.48406938349693,1.46833606000871,3.93340351703969,8.41095885686448,4.13954139665266
"34","salmontrout",4,2017,0.717123205961224,0.793139833853449,4.0308949377598,6.70258531130267,1.19171925925596
"35","salmontrout",5,2019,1.314954999482,1.15329318235586,4.68684148271689,9.80311087964972,2.37614889834999
"36","stjoseph",1,2013,1.87092433638316,1.04512401176065,1.85606022526989,2.4883174580289,1.03658376623623
"37","stjoseph",2,2016,0.680027695309555,0.796552572285089,1.40093168951372,4.92150875190249,0.60294545020335
"38","stjoseph",3,2017,1.07531793606917,1.05789588844536,1.75350008175138,4.26003421618577,0.786815836391833
"39","stjoseph",4,2018,0.91553918453449,1.02122520655297,1.86439171508172,7.43276326780378,0.900101431555431
"40","stjoseph",5,2019,1.93052856281725,1.04604909420752,1.68686268368461,3.31632712505779,0.978578611079344
"41","stlouis",1,2011,0.994618161430984,1.5950703933147,2.49481988583781,7.49218263542555,1.63304181514813
"42","stlouis",2,2012,1.28554360511587,1.30636971529381,3.67445330331019,7.32928743149814,0.946783709708668
"43","stlouis",3,2013,2.371441326667,2.38027683696347,2.78759758627476,3.56293909354249,1.5863247482456
"44","stlouis",4,2016,1.09541019551199,1.18274392520432,3.54066000124817,4.87610547518993,0.888066656769116
"45","stlouis",5,2018,0.90073232864436,1.06004279643841,4.04855468806873,8.82242436401736,0.879409985191069
"46","yellowr",1,2013,1.19717441216665,1.51067000265706,1.62901066414257,1.6755200264613,1.00144071235765
"47","yellowr",2,2015,1.15775866781143,1.22802185573969,2.29296568312812,4.01460792957276,0.999326808827415
"48","yellowr",3,2016,1.54012958037971,1.44216415004629,1.28873569506751,3.78439829917451,0.921485421671486
"49","yellowr",4,2017,1.44343219655622,1.28144774775251,1.75910806330147,5.33387250760123,0.844468428176357
"50","yellowr",5,2019,1.26939717557495,1.3976478536803,1.38043153064206,1.87409427094862,0.897885980359451
