location,lag5,sto,nonlinear,season,global
bigcreek,2.338,2.993,1.946,spring,2.264
bigotter,1.562,2.915,1.564,spring,2.208
fox,3.21,3.008,1.931,spring,2.438
genesee,3.823,2.512,2.205,spring,2.31
humber,2.937,2.908,1.83,spring,2.921
mississagi,2.466,3.783,1.338,spring,1.152
nipigon,2.116,4.877,0.534,spring,4.046
portage,2.684,3.971,2.631,spring,5.36
saginaw,3.346,2.465,1.916,spring,3.11
still,3.775,1.735,3.333,spring,4.254
stlouis,3.624,4.173,2.686,spring,2.383
vermilion,3.892,3.783,2.578,spring,4.544
bigcreek,1.109,1.594,0.948,summer,3.453
bigotter,1.162,2.009,1.307,summer,4.552
fox,1.515,1.772,1.43,summer,3.966
genesee,1.83,1.518,1.706,summer,1.36
humber,1.59,1.746,1.611,summer,4.258
mississagi,1.932,1.801,1.414,summer,1.882
nipigon,3.058,2.927,3.564,summer,5.618
portage,2.024,1.822,2.373,summer,2.506
saginaw,2.725,3.05,3.022,summer,5.99
still,1.337,1.289,1.57,summer,1.978
stlouis,1.867,2.071,1.388,summer,4.919
vermilion,1.186,1.51,1.244,summer,2.075
bigcreek,1.528,3.352,2.503,fall,2.301
bigotter,0.798,3.91,1.279,fall,2.304
fox,4.31,3.1,3.033,fall,3.79
genesee,3.236,2.737,1.761,fall,1.546
humber,2.748,3.359,2.296,fall,2.41
mississagi,2.712,3.023,1.948,fall,2.047
nipigon,1.444,3.291,1.248,fall,3.52
portage,3.181,3.235,3.389,fall,4.66
saginaw,3.142,3.109,1.412,fall,3.554
still,2.033,3.194,2.318,fall,1.49
stlouis,2.994,2.719,1.752,fall,2.986
vermilion,3.038,2.884,2.427,fall,2.374
bigcreek,1.588,2.795,2.145,annual,2.739
bigotter,1.331,3.483,1.968,annual,3.803
fox,4.048,3.034,2.694,annual,3.722
genesee,3.582,2.736,1.748,annual,1.891
humber,2.503,2.634,1.685,annual,3.628
mississagi,3.446,3.635,2.358,annual,2.086
nipigon,3.06,4.966,3.412,annual,4.6
portage,2.786,2.328,2.518,annual,3.784
saginaw,3.445,2.612,1.737,annual,3.806
still,3.338,2.319,2.526,annual,2.475
stlouis,3.855,2.872,1.812,annual,3.892
vermilion,3.167,3.174,2.148,annual,3.367
