"","location","year","date","julian","water","air","dmean_1","dmean_2","dmean_3","dmean_4","dmean_5","dmean_6","cair","X.1","X","n_days","expected_days","complete"
"1","allegheny",2012,2012-04-01,92,7.1,4.45,6.35,1.65,13.3,3.3,-0.6,8.6,5.29285714285714,3,3,112,112,TRUE
"2","allegheny",2012,2012-04-02,93,7.4,5.85,4.45,6.35,1.65,13.3,3.3,-0.6,4.9,3,3,112,112,TRUE
"3","allegheny",2012,2012-04-03,94,7.5,4.7,5.85,4.45,6.35,1.65,13.3,3.3,5.65714285714286,3,3,112,112,TRUE
"4","allegheny",2012,2012-04-04,95,8.1,8.05,4.7,5.85,4.45,6.35,1.65,13.3,6.33571428571429,3,3,112,112,TRUE
"5","allegheny",2012,2012-04-05,96,7.5,6.7,8.05,4.7,5.85,4.45,6.35,1.65,5.39285714285714,3,3,112,112,TRUE
"6","allegheny",2012,2012-04-06,97,7.9,3.6,6.7,8.05,4.7,5.85,4.45,6.35,5.67142857142857,3,3,112,112,TRUE
"7","allegheny",2012,2012-04-07,98,8,4.2,3.6,6.7,8.05,4.7,5.85,4.45,5.36428571428571,3,3,112,112,TRUE
"8","allegheny",2012,2012-04-08,99,7.3,5,4.2,3.6,6.7,8.05,4.7,5.85,5.44285714285714,3,3,112,112,TRUE
"9","allegheny",2012,2012-04-09,100,8.1,6.95,5,4.2,3.6,6.7,8.05,4.7,5.6,3,3,112,112,TRUE
"10","allegheny",2012,2012-04-10,101,7.6,7.8,6.95,5,4.2,3.6,6.7,8.05,6.04285714285714,3,3,112,112,TRUE
"11","allegheny",2012,2012-04-11,102,7.4,3.65,7.8,6.95,5,4.2,3.6,6.7,5.41428571428571,3,3,112,112,TRUE
"12","allegheny",2012,2012-04-12,103,7.6,3.05,3.65,7.8,6.95,5,4.2,3.6,4.89285714285714,3,3,112,112,TRUE
"13","allegheny",2012,2012-04-13,104,7.8,4.45,3.05,3.65,7.8,6.95,5,4.2,5.01428571428571,3,3,112,112,TRUE
"14","allegheny",2012,2012-04-14,105,7.9,7.8,4.45,3.05,3.65,7.8,6.95,5,5.52857142857143,3,3,112,112,TRUE
"15","allegheny",2012,2012-04-15,106,8.1,8.65,7.8,4.45,3.05,3.65,7.8,6.95,6.05,3,3,112,112,TRUE
"16","allegheny",2012,2012-04-16,107,8.3,17.8,8.65,7.8,4.45,3.05,3.65,7.8,7.6,3,3,112,112,TRUE
"17","allegheny",2012,2012-04-17,108,8.1,16.95,17.8,8.65,7.8,4.45,3.05,3.65,8.90714285714286,3,3,112,112,TRUE
"18","allegheny",2012,2012-04-18,109,8.2,7.8,16.95,17.8,8.65,7.8,4.45,3.05,9.5,3,3,112,112,TRUE
"19","allegheny",2012,2012-04-19,110,8.7,9.15,7.8,16.95,17.8,8.65,7.8,4.45,10.3714285714286,3,3,112,112,TRUE
"20","allegheny",2012,2012-04-20,111,8.5,12.25,9.15,7.8,16.95,17.8,8.65,7.8,11.4857142857143,3,3,112,112,TRUE
"21","allegheny",2012,2012-04-21,112,7.8,17.8,12.25,9.15,7.8,16.95,17.8,8.65,12.9142857142857,3,3,112,112,TRUE
"22","allegheny",2012,2012-04-22,113,8.3,5.8,17.8,12.25,9.15,7.8,16.95,17.8,12.5071428571429,3,3,112,112,TRUE
"23","allegheny",2012,2012-04-23,114,8.7,3.6,5.8,17.8,12.25,9.15,7.8,16.95,10.4785714285714,3,3,112,112,TRUE
"24","allegheny",2012,2012-04-24,115,8.8,1.1,3.6,5.8,17.8,12.25,9.15,7.8,8.21428571428572,3,3,112,112,TRUE
"25","allegheny",2012,2012-04-25,116,8.9,3.05,1.1,3.6,5.8,17.8,12.25,9.15,7.53571428571429,3,3,112,112,TRUE
"26","allegheny",2012,2012-04-26,117,8.8,7.5,3.05,1.1,3.6,5.8,17.8,12.25,7.3,3,3,112,112,TRUE
"27","allegheny",2012,2012-04-27,118,8.6,10.55,7.5,3.05,1.1,3.6,5.8,17.8,7.05714285714286,3,3,112,112,TRUE
"28","allegheny",2012,2012-04-28,119,8.6,3.05,10.55,7.5,3.05,1.1,3.6,5.8,4.95,3,3,112,112,TRUE
"29","allegheny",2012,2012-04-29,120,9,3.9,3.05,10.55,7.5,3.05,1.1,3.6,4.67857142857143,3,3,112,112,TRUE
"30","allegheny",2012,2012-04-30,121,9.3,6.1,3.9,3.05,10.55,7.5,3.05,1.1,5.03571428571429,3,3,112,112,TRUE
"31","allegheny",2012,2012-05-01,122,9.3,8.6,6.1,3.9,3.05,10.55,7.5,3.05,6.10714285714286,3,3,112,112,TRUE
"32","allegheny",2012,2012-05-02,123,9.2,14.75,8.6,6.1,3.9,3.05,10.55,7.5,7.77857142857143,3,3,112,112,TRUE
"33","allegheny",2012,2012-05-03,124,9.3,15.85,14.75,8.6,6.1,3.9,3.05,10.55,8.97142857142857,3,3,112,112,TRUE
"34","allegheny",2012,2012-05-04,125,9.3,22.5,15.85,14.75,8.6,6.1,3.9,3.05,10.6785714285714,3,3,112,112,TRUE
"35","allegheny",2012,2012-05-05,126,10,21.4,22.5,15.85,14.75,8.6,6.1,3.9,13.3,3,3,112,112,TRUE
"36","allegheny",2012,2012-05-06,127,11.3,15.55,21.4,22.5,15.85,14.75,8.6,6.1,14.9642857142857,3,3,112,112,TRUE
"37","allegheny",2012,2012-05-07,128,11.1,15.25,15.55,21.4,22.5,15.85,14.75,8.6,16.2714285714286,3,3,112,112,TRUE
"38","allegheny",2012,2012-05-08,129,9.8,16.1,15.25,15.55,21.4,22.5,15.85,14.75,17.3428571428571,3,3,112,112,TRUE
"39","allegheny",2012,2012-05-09,130,9.8,14.75,16.1,15.25,15.55,21.4,22.5,15.85,17.3428571428571,3,3,112,112,TRUE
"40","allegheny",2012,2012-05-10,131,9.9,12.75,14.75,16.1,15.25,15.55,21.4,22.5,16.9,3,3,112,112,TRUE
"41","allegheny",2012,2012-05-11,132,10.4,8.35,12.75,14.75,16.1,15.25,15.55,21.4,14.8785714285714,3,3,112,112,TRUE
"42","allegheny",2012,2012-05-12,133,10.4,11.4,8.35,12.75,14.75,16.1,15.25,15.55,13.45,3,3,112,112,TRUE
"43","allegheny",2012,2012-05-13,134,10.1,15.3,11.4,8.35,12.75,14.75,16.1,15.25,13.4142857142857,3,3,112,112,TRUE
"44","allegheny",2012,2012-05-14,135,10.7,17.5,15.3,11.4,8.35,12.75,14.75,16.1,13.7357142857143,3,3,112,112,TRUE
"45","allegheny",2012,2012-05-15,136,11.1,15.8,17.5,15.3,11.4,8.35,12.75,14.75,13.6928571428571,3,3,112,112,TRUE
"46","allegheny",2012,2012-05-16,137,12,17.2,15.8,17.5,15.3,11.4,8.35,12.75,14.0428571428571,3,3,112,112,TRUE
"47","allegheny",2012,2012-05-17,138,13.5,12.75,17.2,15.8,17.5,15.3,11.4,8.35,14.0428571428571,3,3,112,112,TRUE
"48","allegheny",2012,2012-05-18,139,13.9,10.55,12.75,17.2,15.8,17.5,15.3,11.4,14.3571428571429,3,3,112,112,TRUE
"49","allegheny",2012,2012-05-19,140,13.9,15,10.55,12.75,17.2,15.8,17.5,15.3,14.8714285714286,3,3,112,112,TRUE
"50","allegheny",2012,2012-05-20,141,14.2,20,15,10.55,12.75,17.2,15.8,17.5,15.5428571428571,3,3,112,112,TRUE
"51","allegheny",2012,2012-05-21,142,13.7,21.4,20,15,10.55,12.75,17.2,15.8,16.1,3,3,112,112,TRUE
"52","allegheny",2012,2012-05-22,143,13.8,19.75,21.4,20,15,10.55,12.75,17.2,16.6642857142857,3,3,112,112,TRUE
"53","allegheny",2012,2012-05-23,144,14.9,19.45,19.75,21.4,20,15,10.55,12.75,16.9857142857143,3,3,112,112,TRUE
"54","allegheny",2012,2012-05-24,145,15.2,20.55,19.45,19.75,21.4,20,15,10.55,18.1,3,3,112,112,TRUE
"55","allegheny",2012,2012-05-25,146,13.5,21.65,20.55,19.45,19.75,21.4,20,15,19.6857142857143,3,3,112,112,TRUE
"56","allegheny",2012,2012-05-26,147,14.6,24.45,21.65,20.55,19.45,19.75,21.4,20,21.0357142857143,3,3,112,112,TRUE
"57","allegheny",2012,2012-05-27,148,16.9,21.65,24.45,21.65,20.55,19.45,19.75,21.4,21.2714285714286,3,3,112,112,TRUE
"58","allegheny",2012,2012-05-28,149,15.6,23.05,21.65,24.45,21.65,20.55,19.45,19.75,21.5071428571429,3,3,112,112,TRUE
"59","allegheny",2012,2012-05-29,150,14.4,23.35,23.05,21.65,24.45,21.65,20.55,19.45,22.0214285714286,3,3,112,112,TRUE
"60","allegheny",2012,2012-05-30,151,15.6,22.2,23.35,23.05,21.65,24.45,21.65,20.55,22.4142857142857,3,3,112,112,TRUE
"61","allegheny",2012,2012-05-31,152,17,17.5,22.2,23.35,23.05,21.65,24.45,21.65,21.9785714285714,3,3,112,112,TRUE
"62","allegheny",2012,2012-06-01,153,17.2,15.55,17.5,22.2,23.35,23.05,21.65,24.45,21.1071428571429,3,3,112,112,TRUE
"63","allegheny",2012,2012-06-02,154,13,15.6,15.55,17.5,22.2,23.35,23.05,21.65,19.8428571428571,3,3,112,112,TRUE
"64","allegheny",2012,2012-06-03,155,14.3,14.45,15.6,15.55,17.5,22.2,23.35,23.05,18.8142857142857,3,3,112,112,TRUE
"65","allegheny",2012,2012-06-04,156,15.6,15.3,14.45,15.6,15.55,17.5,22.2,23.35,17.7071428571429,3,3,112,112,TRUE
"66","allegheny",2012,2012-06-05,157,17.2,13.35,15.3,14.45,15.6,15.55,17.5,22.2,16.2785714285714,3,3,112,112,TRUE
"67","allegheny",2012,2012-06-06,158,16.5,12.75,13.35,15.3,14.45,15.6,15.55,17.5,14.9285714285714,3,3,112,112,TRUE
"68","allegheny",2012,2012-06-07,159,15.6,14.7,12.75,13.35,15.3,14.45,15.6,15.55,14.5285714285714,3,3,112,112,TRUE
"69","allegheny",2012,2012-06-08,160,15.9,15.85,14.7,12.75,13.35,15.3,14.45,15.6,14.5714285714286,3,3,112,112,TRUE
"70","allegheny",2012,2012-06-09,161,15.9,17.5,15.85,14.7,12.75,13.35,15.3,14.45,14.8428571428571,3,3,112,112,TRUE
"71","allegheny",2012,2012-06-10,162,15.9,20,17.5,15.85,14.7,12.75,13.35,15.3,15.6357142857143,3,3,112,112,TRUE
"72","allegheny",2012,2012-06-11,163,16.2,22.8,20,17.5,15.85,14.7,12.75,13.35,16.7071428571429,3,3,112,112,TRUE
"73","allegheny",2012,2012-06-12,164,15.8,21.1,22.8,20,17.5,15.85,14.7,12.75,17.8142857142857,3,3,112,112,TRUE
"74","allegheny",2012,2012-06-13,165,17.5,16.95,21.1,22.8,20,17.5,15.85,14.7,18.4142857142857,3,3,112,112,TRUE
"75","allegheny",2012,2012-06-14,166,18,14.45,16.95,21.1,22.8,20,17.5,15.85,18.3785714285714,3,3,112,112,TRUE
"76","allegheny",2012,2012-06-15,167,17.4,17.2,14.45,16.95,21.1,22.8,20,17.5,18.5714285714286,3,3,112,112,TRUE
"77","allegheny",2012,2012-06-16,168,16.8,19.2,17.2,14.45,16.95,21.1,22.8,20,18.8142857142857,3,3,112,112,TRUE
"78","allegheny",2012,2012-06-17,169,16.7,19.45,19.2,17.2,14.45,16.95,21.1,22.8,18.7357142857143,3,3,112,112,TRUE
"79","allegheny",2012,2012-06-18,170,16.4,21.4,19.45,19.2,17.2,14.45,16.95,21.1,18.5357142857143,3,3,112,112,TRUE
"80","allegheny",2012,2012-06-19,171,17.6,21.65,21.4,19.45,19.2,17.2,14.45,16.95,18.6142857142857,3,3,112,112,TRUE
"81","allegheny",2012,2012-06-20,172,17.8,25,21.65,21.4,19.45,19.2,17.2,14.45,19.7642857142857,3,3,112,112,TRUE
"82","allegheny",2012,2012-06-21,173,17.8,25.25,25,21.65,21.4,19.45,19.2,17.2,21.3071428571429,3,3,112,112,TRUE
"83","allegheny",2012,2012-06-22,174,18.4,25,25.25,25,21.65,21.4,19.45,19.2,22.4214285714286,3,3,112,112,TRUE
