"","station_id","date","max_air","min_air","mean_air","location"
"1","5097",1998-01-01,2.6,-13.3,-5.4,"humber"
"2","5097",1998-01-02,7.7,0.8,4.3,"humber"
"3","5097",1998-01-03,9,4.8,6.9,"humber"
"4","5097",1998-01-04,4.8,-3.5,0.7,"humber"
"5","5097",1998-01-05,4.5,-1.3,1.6,"humber"
"6","5097",1998-01-06,10.7,3.6,7.2,"humber"
"7","5097",1998-01-07,6.5,3.3,4.9,"humber"
"8","5097",1998-01-08,3.4,0,1.7,"humber"
"9","5097",1998-01-09,2.7,-0.2,1.3,"humber"
"10","5097",1998-01-10,2.6,-6.2,-1.8,"humber"
"11","5097",1998-01-11,-5.2,-8.9,-7.1,"humber"
"12","5097",1998-01-12,2.4,-9.7,-3.7,"humber"
"13","5097",1998-01-13,4.5,-9.4,-2.5,"humber"
"14","5097",1998-01-14,-5.9,-10.9,-8.4,"humber"
"15","5097",1998-01-15,-4.3,-10.2,-7.3,"humber"
"16","5097",1998-01-16,-5.6,-10.1,-7.9,"humber"
"17","5097",1998-01-17,-4.3,-6.5,-5.4,"humber"
"18","5097",1998-01-18,-1.1,-5.7,-3.4,"humber"
"19","5097",1998-01-19,0.4,-4.7,-2.2,"humber"
"20","5097",1998-01-20,-0.2,-8.9,-4.6,"humber"
"21","5097",1998-01-21,-2.5,-5.4,-4,"humber"
"22","5097",1998-01-22,-5,-10.1,-7.6,"humber"
"23","5097",1998-01-23,2.6,-8.3,-2.9,"humber"
"24","5097",1998-01-24,0.3,-2.4,-1.1,"humber"
"25","5097",1998-01-25,-0.1,-7.8,-4,"humber"
"26","5097",1998-01-26,-4.4,-9.8,-7.1,"humber"
"27","5097",1998-01-27,0.5,-8.8,-4.2,"humber"
"28","5097",1998-01-28,1.6,-6.2,-2.3,"humber"
"29","5097",1998-01-29,1.8,0,0.9,"humber"
"30","5097",1998-01-30,0.9,-2.2,-0.7,"humber"
"31","5097",1998-01-31,1.3,-6.6,-2.7,"humber"
"32","5097",1998-02-01,4.4,-3.9,0.3,"humber"
"33","5097",1998-02-02,6,-1.2,2.4,"humber"
"34","5097",1998-02-03,1.3,-7.3,-3,"humber"
"35","5097",1998-02-04,-2.4,-8.5,-5.5,"humber"
"36","5097",1998-02-05,-1.5,-7.9,-4.7,"humber"
"37","5097",1998-02-06,0.6,-7.8,-3.6,"humber"
"38","5097",1998-02-07,1.7,-8.3,-3.3,"humber"
"39","5097",1998-02-08,2.6,-8.8,-3.1,"humber"
"40","5097",1998-02-09,6.2,-7.9,-0.9,"humber"
"41","5097",1998-02-10,5.8,-4.1,0.9,"humber"
"42","5097",1998-02-11,5.9,-2,2,"humber"
"43","5097",1998-02-12,4.4,-2,1.2,"humber"
"44","5097",1998-02-13,-1.2,-8.9,-5.1,"humber"
"45","5097",1998-02-14,-5,-12.4,-8.7,"humber"
"46","5097",1998-02-15,-1.6,-12.3,-7,"humber"
"47","5097",1998-02-16,3.7,-6.8,-1.6,"humber"
"48","5097",1998-02-17,2.5,0.8,1.7,"humber"
"49","5097",1998-02-18,3.1,1.1,2.1,"humber"
"50","5097",1998-02-19,3.4,1.3,2.4,"humber"
"51","5097",1998-02-20,4.1,0.8,2.5,"humber"
"52","5097",1998-02-21,3.7,0.1,1.9,"humber"
"53","5097",1998-02-22,3.7,-0.2,1.8,"humber"
"54","5097",1998-02-23,6.6,-0.3,3.2,"humber"
"55","5097",1998-02-24,4.3,-0.5,1.9,"humber"
"56","5097",1998-02-25,8.4,-1,3.7,"humber"
"57","5097",1998-02-26,9.2,-1.4,3.9,"humber"
"58","5097",1998-02-27,5.3,-0.8,2.3,"humber"
"59","5097",1998-02-28,9.8,-1.6,4.1,"humber"
"60","5097",1998-03-01,8.1,2.1,5.1,"humber"
"61","5097",1998-03-02,7.2,0.9,4.1,"humber"
"62","5097",1998-03-03,5,0.6,2.8,"humber"
"63","5097",1998-03-04,3.8,-0.4,1.7,"humber"
"64","5097",1998-03-05,4,-1,1.5,"humber"
"65","5097",1998-03-06,3,-1,1,"humber"
"66","5097",1998-03-07,6.1,-1.7,2.2,"humber"
"67","5097",1998-03-08,4,-0.5,1.8,"humber"
"68","5097",1998-03-09,12.3,-5.3,3.5,"humber"
"69","5097",1998-03-10,-4.9,-10.8,-7.9,"humber"
"70","5097",1998-03-11,-6.2,-13.9,-10.1,"humber"
"71","5097",1998-03-12,-2.2,-13.2,-7.7,"humber"
"72","5097",1998-03-13,1.8,-6.9,-2.6,"humber"
"73","5097",1998-03-14,1.4,-5.4,-2,"humber"
"74","5097",1998-03-15,-2.8,-8.9,-5.9,"humber"
"75","5097",1998-03-16,0.4,-12.3,-6,"humber"
"76","5097",1998-03-17,4.7,-8.6,-2,"humber"
"77","5097",1998-03-18,2,0,1,"humber"
"78","5097",1998-03-19,1.5,0,0.8,"humber"
"79","5097",1998-03-20,0.8,-1.5,-0.4,"humber"
"80","5097",1998-03-21,-0.2,-2.9,-1.6,"humber"
"81","5097",1998-03-22,-0.6,-5.5,-3.1,"humber"
"82","5097",1998-03-23,2,-7.3,-2.7,"humber"
"83","5097",1998-03-24,4.1,-7.8,-1.9,"humber"
"84","5097",1998-03-25,6.8,-3.3,1.8,"humber"
"85","5097",1998-03-26,19.3,3.8,11.6,"humber"
"86","5097",1998-03-27,22.6,11.1,16.9,"humber"
