location,station_name,country,j.date,temp,year.true,year.modify,complete,date,month,week,day
genesee,ROCHESTER GTR INTL,us,1,0.673958333,2011,na,1,1/1/2011,1,52,1
genesee,ROCHESTER GTR INTL,us,2,0.826041667,2011,na,1,1/2/2011,1,52,2
genesee,ROCHESTER GTR INTL,us,3,0.303125,2011,na,1,1/3/2011,1,52,3
genesee,ROCHESTER GTR INTL,us,4,0.11875,2011,na,1,1/4/2011,1,52,4
genesee,ROCHESTER GTR INTL,us,5,0.186458333,2011,na,1,1/5/2011,1,52,5
genesee,ROCHESTER GTR INTL,us,6,0.069791667,2011,na,1,1/6/2011,1,52,6
genesee,ROCHESTER GTR INTL,us,7,0.042708333,2011,2011,1,1/7/2011,1,1,7
genesee,ROCHESTER GTR INTL,us,8,0.059375,2011,2011,1,1/8/2011,1,1,8
genesee,ROCHESTER GTR INTL,us,9,0.064583333,2011,2011,1,1/9/2011,1,1,9
genesee,ROCHESTER GTR INTL,us,10,0.082291667,2011,2011,1,1/10/2011,1,1,10
genesee,ROCHESTER GTR INTL,us,11,0.070833333,2011,2011,1,1/11/2011,1,1,11
genesee,ROCHESTER GTR INTL,us,12,0.070833333,2011,2011,1,1/12/2011,1,1,12
genesee,ROCHESTER GTR INTL,us,13,0.05625,2011,2011,1,1/13/2011,1,1,13
genesee,ROCHESTER GTR INTL,us,14,0.083333333,2011,2011,1,1/14/2011,1,2,14
genesee,ROCHESTER GTR INTL,us,15,0.041666667,2011,2011,1,1/15/2011,1,2,15
genesee,ROCHESTER GTR INTL,us,16,0.029166667,2011,2011,1,1/16/2011,1,2,16
genesee,ROCHESTER GTR INTL,us,17,0.038541667,2011,2011,1,1/17/2011,1,2,17
genesee,ROCHESTER GTR INTL,us,18,0.066666667,2011,2011,1,1/18/2011,1,2,18
genesee,ROCHESTER GTR INTL,us,19,0.1,2011,2011,1,1/19/2011,1,2,19
genesee,ROCHESTER GTR INTL,us,20,0.098958333,2011,2011,1,1/20/2011,1,2,20
genesee,ROCHESTER GTR INTL,us,21,0.066666667,2011,2011,1,1/21/2011,1,3,21
genesee,ROCHESTER GTR INTL,us,22,0.077083333,2011,2011,1,1/22/2011,1,3,22
genesee,ROCHESTER GTR INTL,us,23,0.04375,2011,2011,1,1/23/2011,1,3,23
genesee,ROCHESTER GTR INTL,us,24,0.067708333,2011,2011,1,1/24/2011,1,3,24
genesee,ROCHESTER GTR INTL,us,25,0.078125,2011,2011,1,1/25/2011,1,3,25
genesee,ROCHESTER GTR INTL,us,26,0.1,2011,2011,1,1/26/2011,1,3,26
genesee,ROCHESTER GTR INTL,us,27,0.083333333,2011,2011,1,1/27/2011,1,3,27
genesee,ROCHESTER GTR INTL,us,28,0.005208333,2011,2011,1,1/28/2011,1,4,28
genesee,ROCHESTER GTR INTL,us,29,0.054166667,2011,2011,1,1/29/2011,1,4,29
genesee,ROCHESTER GTR INTL,us,30,0.057291667,2011,2011,1,1/30/2011,1,4,30
genesee,ROCHESTER GTR INTL,us,31,0.1,2011,2011,1,1/31/2011,1,4,31
genesee,ROCHESTER GTR INTL,us,32,0.098958333,2011,2011,1,2/1/2011,2,4,1
genesee,ROCHESTER GTR INTL,us,33,0.063541667,2011,2011,1,2/2/2011,2,4,2
genesee,ROCHESTER GTR INTL,us,34,0.1,2011,2011,1,2/3/2011,2,4,3
genesee,ROCHESTER GTR INTL,us,35,0.023958333,2011,2011,1,2/4/2011,2,5,4
genesee,ROCHESTER GTR INTL,us,36,0.023958333,2011,2011,1,2/5/2011,2,5,5
genesee,ROCHESTER GTR INTL,us,37,0.023958333,2011,2011,1,2/6/2011,2,5,6
genesee,ROCHESTER GTR INTL,us,38,0.023958333,2011,2011,1,2/7/2011,2,5,7
genesee,ROCHESTER GTR INTL,us,39,0.023958333,2011,2011,1,2/8/2011,2,5,8
genesee,ROCHESTER GTR INTL,us,40,0.035416667,2011,2011,1,2/9/2011,2,5,9
genesee,ROCHESTER GTR INTL,us,41,0.045833333,2011,2011,1,2/10/2011,2,5,10
genesee,ROCHESTER GTR INTL,us,42,0.083157895,2011,2011,1,2/11/2011,2,6,11
genesee,ROCHESTER GTR INTL,us,43,0.020833333,2011,2011,1,2/12/2011,2,6,12
genesee,ROCHESTER GTR INTL,us,44,0.048958333,2011,2011,1,2/13/2011,2,6,13
genesee,ROCHESTER GTR INTL,us,45,0.054347826,2011,2011,1,2/14/2011,2,6,14
genesee,ROCHESTER GTR INTL,us,46,0.088541667,2011,2011,1,2/15/2011,2,6,15
genesee,ROCHESTER GTR INTL,us,47,0.060416667,2011,2011,1,2/16/2011,2,6,16
genesee,ROCHESTER GTR INTL,us,48,0.052083333,2011,2011,1,2/17/2011,2,6,17
genesee,ROCHESTER GTR INTL,us,49,0.153125,2011,2011,1,2/18/2011,2,7,18
genesee,ROCHESTER GTR INTL,us,50,0.032291667,2011,2011,1,2/19/2011,2,7,19
genesee,ROCHESTER GTR INTL,us,51,0.06875,2011,2011,1,2/20/2011,2,7,20
genesee,ROCHESTER GTR INTL,us,52,0,2011,2011,1,2/21/2011,2,7,21
genesee,ROCHESTER GTR INTL,us,53,0.016666667,2011,2011,1,2/22/2011,2,7,22
genesee,ROCHESTER GTR INTL,us,54,0.078125,2011,2011,1,2/23/2011,2,7,23
genesee,ROCHESTER GTR INTL,us,55,0.071276596,2011,2011,1,2/24/2011,2,7,24
genesee,ROCHESTER GTR INTL,us,56,0.053125,2011,2011,1,2/25/2011,2,8,25
genesee,ROCHESTER GTR INTL,us,57,0.078125,2011,2011,1,2/26/2011,2,8,26
genesee,ROCHESTER GTR INTL,us,58,0.194791667,2011,2011,1,2/27/2011,2,8,27
genesee,ROCHESTER GTR INTL,us,59,0.35,2011,2011,1,2/28/2011,2,8,28
genesee,ROCHESTER GTR INTL,us,60,0.294791667,2011,2011,1,3/1/2011,3,8,1
genesee,ROCHESTER GTR INTL,us,61,0.197916667,2011,2011,1,3/2/2011,3,8,2
genesee,ROCHESTER GTR INTL,us,62,0.096875,2011,2011,1,3/3/2011,3,8,3
genesee,ROCHESTER GTR INTL,us,63,0.178125,2011,2011,1,3/4/2011,3,9,4
genesee,ROCHESTER GTR INTL,us,64,0.555208333,2011,2011,1,3/5/2011,3,9,5
genesee,ROCHESTER GTR INTL,us,65,0.353125,2011,2011,1,3/6/2011,3,9,6
genesee,ROCHESTER GTR INTL,us,66,0.34375,2011,2011,1,3/7/2011,3,9,7
genesee,ROCHESTER GTR INTL,us,67,0.518390805,2011,2011,1,3/8/2011,3,9,8
genesee,ROCHESTER GTR INTL,us,68,0.734375,2011,2011,1,3/9/2011,3,9,9
genesee,ROCHESTER GTR INTL,us,69,1.396875,2011,2011,1,3/10/2011,3,9,10
genesee,ROCHESTER GTR INTL,us,70,2.313541667,2011,2011,1,3/11/2011,3,10,11
genesee,ROCHESTER GTR INTL,us,71,2.139583333,2011,2011,1,3/12/2011,3,10,12
genesee,ROCHESTER GTR INTL,us,72,1.752083333,2011,2011,1,3/13/2011,3,10,13
genesee,ROCHESTER GTR INTL,us,73,1.652083333,2011,2011,1,3/14/2011,3,10,14
genesee,ROCHESTER GTR INTL,us,74,1.721875,2011,2011,1,3/15/2011,3,10,15
genesee,ROCHESTER GTR INTL,us,75,2.265625,2011,2011,1,3/16/2011,3,10,16
genesee,ROCHESTER GTR INTL,us,76,2.845833333,2011,2011,1,3/17/2011,3,10,17
genesee,ROCHESTER GTR INTL,us,77,4.154166667,2011,2011,1,3/18/2011,3,11,18
genesee,ROCHESTER GTR INTL,us,78,4.363541667,2011,2011,1,3/19/2011,3,11,19
genesee,ROCHESTER GTR INTL,us,79,3.513541667,2011,2011,1,3/20/2011,3,11,20
genesee,ROCHESTER GTR INTL,us,80,3.5875,2011,2011,1,3/21/2011,3,11,21
genesee,ROCHESTER GTR INTL,us,81,4.04375,2011,2011,1,3/22/2011,3,11,22
genesee,ROCHESTER GTR INTL,us,82,3.433333333,2011,2011,1,3/23/2011,3,11,23
genesee,ROCHESTER GTR INTL,us,83,2.8625,2011,2011,1,3/24/2011,3,11,24
genesee,ROCHESTER GTR INTL,us,84,3.197916667,2011,2011,1,3/25/2011,3,12,25
genesee,ROCHESTER GTR INTL,us,85,3.479166667,2011,2011,1,3/26/2011,3,12,26
genesee,ROCHESTER GTR INTL,us,86,3.811458333,2011,2011,1,3/27/2011,3,12,27
genesee,ROCHESTER GTR INTL,us,87,4.010416667,2011,2011,1,3/28/2011,3,12,28
genesee,ROCHESTER GTR INTL,us,88,4.171875,2011,2011,1,3/29/2011,3,12,29
genesee,ROCHESTER GTR INTL,us,89,4.416666667,2011,2011,1,3/30/2011,3,12,30
genesee,ROCHESTER GTR INTL,us,90,4.353125,2011,2011,1,3/31/2011,3,12,31
genesee,ROCHESTER GTR INTL,us,91,4.255208333,2011,2011,1,4/1/2011,4,13,1
genesee,ROCHESTER GTR INTL,us,92,4.291666667,2011,2011,1,4/2/2011,4,13,2
genesee,ROCHESTER GTR INTL,us,93,4.820833333,2011,2011,1,4/3/2011,4,13,3
genesee,ROCHESTER GTR INTL,us,94,5.548913043,2011,2011,1,4/4/2011,4,13,4
genesee,ROCHESTER GTR INTL,us,95,6.565263158,2011,2011,1,4/5/2011,4,13,5
genesee,ROCHESTER GTR INTL,us,96,5.991578947,2011,2011,1,4/6/2011,4,13,6
genesee,ROCHESTER GTR INTL,us,97,4.9125,2011,2011,1,4/7/2011,4,13,7
genesee,ROCHESTER GTR INTL,us,98,5.613541667,2011,2011,1,4/8/2011,4,14,8
genesee,ROCHESTER GTR INTL,us,99,6.260416667,2011,2011,1,4/9/2011,4,14,9
genesee,ROCHESTER GTR INTL,us,100,7.0125,2011,2011,1,4/10/2011,4,14,10
genesee,ROCHESTER GTR INTL,us,101,7.741666667,2011,2011,1,4/11/2011,4,14,11
genesee,ROCHESTER GTR INTL,us,102,8.026041667,2011,2011,1,4/12/2011,4,14,12
genesee,ROCHESTER GTR INTL,us,103,7.694791667,2011,2011,1,4/13/2011,4,14,13
genesee,ROCHESTER GTR INTL,us,104,7.735555556,2011,2011,1,4/14/2011,4,14,14
genesee,ROCHESTER GTR INTL,us,105,8.070786517,2011,2011,1,4/15/2011,4,15,15
genesee,ROCHESTER GTR INTL,us,106,8.452083333,2011,2011,1,4/16/2011,4,15,16
genesee,ROCHESTER GTR INTL,us,107,8.2875,2011,2011,1,4/17/2011,4,15,17
genesee,ROCHESTER GTR INTL,us,108,7.99375,2011,2011,1,4/18/2011,4,15,18
genesee,ROCHESTER GTR INTL,us,109,7.49,2011,2011,1,4/19/2011,4,15,19
genesee,ROCHESTER GTR INTL,us,110,7.104166667,2011,2011,1,4/20/2011,4,15,20
genesee,ROCHESTER GTR INTL,us,111,7.371875,2011,2011,1,4/21/2011,4,15,21
genesee,ROCHESTER GTR INTL,us,112,7.552083333,2011,2011,1,4/22/2011,4,16,22
genesee,ROCHESTER GTR INTL,us,113,7.659375,2011,2011,1,4/23/2011,4,16,23
genesee,ROCHESTER GTR INTL,us,114,8.60625,2011,2011,1,4/24/2011,4,16,24
genesee,ROCHESTER GTR INTL,us,115,9.255208333,2011,2011,1,4/25/2011,4,16,25
genesee,ROCHESTER GTR INTL,us,116,9.697894737,2011,2011,1,4/26/2011,4,16,26
genesee,ROCHESTER GTR INTL,us,117,11.553125,2011,2011,1,4/27/2011,4,16,27
genesee,ROCHESTER GTR INTL,us,118,14.25520833,2011,2011,1,4/28/2011,4,16,28
genesee,ROCHESTER GTR INTL,us,119,14.10416667,2011,2011,1,4/29/2011,4,17,29
genesee,ROCHESTER GTR INTL,us,120,11.87604167,2011,2011,1,4/30/2011,4,17,30
genesee,ROCHESTER GTR INTL,us,121,11.67916667,2011,2011,1,5/1/2011,5,17,1
genesee,ROCHESTER GTR INTL,us,122,11.571875,2011,2011,1,5/2/2011,5,17,2
